xml_path,image_path,gt_text,pred_text,gt_bbox,pred_bbox,iou,det_conf,text_conf,bbox_match,text_exact,e2e_exact,cer
data_prepared/indian_lp\0b24d6ed-d32f-420d-bc18-03deece29073___2015-Maruti-Ciaz-Test-Drive-Review.jpg.xml,data_prepared/indian_lp\0b24d6ed-d32f-420d-bc18-03deece29073___2015-Maruti-Ciaz-Test-Drive-Review.jpg.jpeg,HR26CK8571,HR26CK8571,"[384, 213, 489, 247]","[370, 208, 501, 251]",0.633765,0.849983,0.971054,1,1,1,0.0
data_prepared/indian_lp\0b77e2a4-34db-486c-8d87-46186f5b7b88___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-diesel-review-motorzest-04.xml,data_prepared/indian_lp\0b77e2a4-34db-486c-8d87-46186f5b7b88___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-diesel-review-motorzest-04.jpg,TN21AT0479,TN21AT0479,"[421, 308, 500, 338]","[415, 308, 506, 341]",0.789211,0.810231,0.955937,1,1,1,0.0
data_prepared/indian_lp\0c9ebe94-827d-4c74-9950-6816e70d1bab___IMG_8883.jpg.xml,data_prepared/indian_lp\0c9ebe94-827d-4c74-9950-6816e70d1bab___IMG_8883.jpg.jpeg,MH20BY3665,MH20BY3665,"[185, 114, 324, 148]","[173, 108, 336, 153]",0.644308,0.875712,0.958644,1,1,1,0.0
data_prepared/indian_lp\10c96324-3452-43e2-aa68-c8ae7d3c1b6e___844874771_1_1080x720_maruti-suzuki-wagon-r-vxi-bs-iii-2014-petrol-.jpg.xml,data_prepared/indian_lp\10c96324-3452-43e2-aa68-c8ae7d3c1b6e___844874771_1_1080x720_maruti-suzuki-wagon-r-vxi-bs-iii-2014-petrol-.jpg.jpeg,TN52U1580,TN52U1580,"[138, 249, 348, 301]","[117, 238, 371, 311]",0.588933,0.868896,0.967618,1,1,1,0.0
data_prepared/indian_lp\11186c4c-5f17-49b1-af37-a138a1e53794___12837944763_e7c6c6381a_z.jpg.xml,data_prepared/indian_lp\11186c4c-5f17-49b1-af37-a138a1e53794___12837944763_e7c6c6381a_z.jpg.jpeg,MH20CS1941,MH20CS1941,"[221, 190, 432, 233]","[198, 180, 456, 244]",0.549479,0.865981,0.948972,1,1,1,0.0
data_prepared/indian_lp\11832b13-d514-4f1d-967c-d00e76d21e9b___Yellow-Number-Plate-With-Black-Lettering.jpg.xml,data_prepared/indian_lp\11832b13-d514-4f1d-967c-d00e76d21e9b___Yellow-Number-Plate-With-Black-Lettering.jpg.jpeg,TN59AQ1515,TN59AQ1515,"[121, 163, 244, 202]","[107, 158, 256, 207]",0.657033,0.846859,0.964458,1,1,1,0.0
data_prepared/indian_lp\125b5cda-9691-47aa-8e57-f6d8a8537d83___fancy_number_plates_in_india.jpg.xml,data_prepared/indian_lp\125b5cda-9691-47aa-8e57-f6d8a8537d83___fancy_number_plates_in_india.jpg.jpeg,TN66U8215,TN66U8215,"[52, 87, 401, 175]","[22, 74, 435, 188]",0.652309,0.886908,0.961784,1,1,1,0.0
data_prepared/indian_lp\12e26859-89e0-4c9b-9c59-ee793337464f___20.jpg.xml,data_prepared/indian_lp\12e26859-89e0-4c9b-9c59-ee793337464f___20.jpg.jpeg,HR26BR9044,,"[155, 194, 286, 232]",,0.0,0.0,0.0,0,0,0,1.0
data_prepared/indian_lp\12e26859-89e0-4c9b-9c59-ee793337464f___20.jpg.xml,data_prepared/indian_lp\12e26859-89e0-4c9b-9c59-ee793337464f___20.jpg.jpeg,,HR26BR9044,,"[140, 184, 303, 247]",0.0,0.842861,0.955964,0,0,0,
data_prepared/indian_lp\13ffaad4-a186-46bd-ae5d-924d1c8d7c50___maruti-suzuki-Baleno-RS-pics-48.jpg.xml,data_prepared/indian_lp\13ffaad4-a186-46bd-ae5d-924d1c8d7c50___maruti-suzuki-Baleno-RS-pics-48.jpg.jpeg,HR26DA5443,HR26DA5443,"[646, 329, 734, 389]","[631, 321, 747, 397]",0.598911,0.8265,0.922917,1,1,1,0.0
data_prepared/indian_lp\1438b735-2d21-4879-8ed4-e5fa086e70c8___Maruti-Suzuki-Swift-Dzire-1.jpg.xml,data_prepared/indian_lp\1438b735-2d21-4879-8ed4-e5fa086e70c8___Maruti-Suzuki-Swift-Dzire-1.jpg.jpeg,HR26BP3543,HR26BP3543,"[189, 266, 333, 303]","[174, 257, 350, 310]",0.571184,0.860828,0.95637,1,1,1,0.0
data_prepared/indian_lp\15e7c19f-da3c-4f0d-91f3-552afabc8961___41FxrEl7jHL.jpg.xml,data_prepared/indian_lp\15e7c19f-da3c-4f0d-91f3-552afabc8961___41FxrEl7jHL.jpg.jpeg,DL10CG4693,DL10CG4693,"[145, 99, 368, 154]","[124, 93, 391, 159]",0.696005,0.886718,0.960709,1,1,1,0.0
data_prepared/indian_lp\165eaa92-8e90-44e6-b132-8af462bae0c9___scorpio-rear.JPG.xml,data_prepared/indian_lp\165eaa92-8e90-44e6-b132-8af462bae0c9___scorpio-rear.JPG.jpeg,KA01MA6989,KA01MA6989,"[42, 129, 106, 158]","[34, 125, 113, 162]",0.634964,0.720894,0.910751,1,1,1,0.0
data_prepared/indian_lp\165eaa92-8e90-44e6-b132-8af462bae0c9___scorpio-rear.JPG.xml,data_prepared/indian_lp\165eaa92-8e90-44e6-b132-8af462bae0c9___scorpio-rear.JPG.jpeg,,GJ1555,,"[117, 133, 257, 175]",0.0,0.771969,0.64436,0,0,0,
data_prepared/indian_lp\175ff546-0679-4cbb-ab03-acfcd96877b7___Maruti_Wagon_R_Rear.jpg.xml,data_prepared/indian_lp\175ff546-0679-4cbb-ab03-acfcd96877b7___Maruti_Wagon_R_Rear.jpg.jpeg,MH06AW8929,MH06AW8929,"[192, 278, 362, 325]","[173, 268, 377, 330]",0.63172,0.855279,0.960907,1,1,1,0.0
data_prepared/indian_lp\18d2b870-7817-46da-a59a-6406c1b472c9___1033.xml,data_prepared/indian_lp\18d2b870-7817-46da-a59a-6406c1b472c9___1033.png,KA51MJ8156,KA51MJ8156,"[113, 283, 255, 323]","[99, 276, 267, 328]",0.650183,0.82811,0.971699,1,1,1,0.0
data_prepared/indian_lp\18f2e55e-0724-4eee-a28e-5d552a5aa045___20455d0e2dca458f13fbf4da5a2dc118.jpg - Copy.xml,data_prepared/indian_lp\18f2e55e-0724-4eee-a28e-5d552a5aa045___20455d0e2dca458f13fbf4da5a2dc118.jpg - Copy.jpeg,HP896786,HP896776,"[152, 165, 285, 242]","[137, 152, 301, 258]",0.589105,0.838066,0.726032,1,0,0,0.125
data_prepared/indian_lp\18f2e55e-0724-4eee-a28e-5d552a5aa045___20455d0e2dca458f13fbf4da5a2dc118.jpg.xml,data_prepared/indian_lp\18f2e55e-0724-4eee-a28e-5d552a5aa045___20455d0e2dca458f13fbf4da5a2dc118.jpg.jpeg,HP896786,TR1252163,"[115, 158, 286, 249]","[98, 150, 304, 270]",0.62949,0.81156,0.312364,1,0,0,1.0
data_prepared/indian_lp\1a0da3dc-6667-4092-bc2a-a541a06f1e90___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano9.xml,data_prepared/indian_lp\1a0da3dc-6667-4092-bc2a-a541a06f1e90___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano9.jpg,KA04MN3622,KA04MN3622,"[198, 373, 369, 416]","[182, 367, 387, 423]",0.640505,0.833321,0.965864,1,1,1,0.0
data_prepared/indian_lp\1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.xml,data_prepared/indian_lp\1e7151e6-8626-4fb2-b7e8-0fb6a8fde713___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_a19be5870f8f2593c994c465a691477e_555X416_1.jpg,RJ27TC0530,RJ27TC0530,"[233, 225, 322, 258]","[224, 224, 329, 260]",0.776984,0.83043,0.962155,1,1,1,0.0
data_prepared/indian_lp\1f0a7fe8-ac9b-4b54-9d55-e11f34f9f98b___9f6521b2ddb7b8e40ffd510966ffcca3.jpg.xml,data_prepared/indian_lp\1f0a7fe8-ac9b-4b54-9d55-e11f34f9f98b___9f6521b2ddb7b8e40ffd510966ffcca3.jpg.jpeg,KA42TC131011,KA42TC1310,"[314, 108, 377, 144]","[309, 102, 382, 148]",0.675402,0.810391,0.863361,1,0,0,0.166667
data_prepared/indian_lp\206c95ff-83b8-4273-b105-6637bf9a3038___numerix-number-plates-thodupuzha-idukki-number-plate-dealers-1lhwiga.jpg.xml,data_prepared/indian_lp\206c95ff-83b8-4273-b105-6637bf9a3038___numerix-number-plates-thodupuzha-idukki-number-plate-dealers-1lhwiga.jpg.jpeg,KL38F5008,KL08E5008,"[624, 537, 1715, 1008]","[549, 471, 1785, 1074]",0.689461,0.914615,0.800303,1,0,0,0.222222
data_prepared/indian_lp\20dd73fd-9e05-4bdc-b380-d8148b194ae7___Maruti-Swift-Number-Plates-Design.jpg.xml,data_prepared/indian_lp\20dd73fd-9e05-4bdc-b380-d8148b194ae7___Maruti-Swift-Number-Plates-Design.jpg.jpeg,KL10AV6342,KL10AV6342,"[333, 215, 856, 411]","[272, 192, 907, 440]",0.650927,0.848274,0.975584,1,1,1,0.0
data_prepared/indian_lp\2153dfcb-5968-4bfc-86ba-7ee8ec2d25b1___163231d1425035435-skoda-rapid-tdi-remapped-code-6-tuning-ind-front.jpg.xml,data_prepared/indian_lp\2153dfcb-5968-4bfc-86ba-7ee8ec2d25b1___163231d1425035435-skoda-rapid-tdi-remapped-code-6-tuning-ind-front.jpg.jpeg,TN07BV5200,TN07BV5200,"[61, 360, 238, 408]","[53, 353, 256, 412]",0.70936,0.853199,0.950165,1,1,1,0.0
data_prepared/indian_lp\21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg - Copy.xml,data_prepared/indian_lp\21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg - Copy.jpeg,DL758Y1790,DL758Y1790,"[24, 97, 58, 120]","[27, 92, 60, 124]",0.633778,0.806424,0.769161,1,1,1,0.0
data_prepared/indian_lp\21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg.xml,data_prepared/indian_lp\21cc678a-b9c5-4bbb-ace0-9e096e799632___unnamed-300x225.jpg.jpeg,DL13S0155,DL13S0155,"[82, 181, 146, 224]","[84, 172, 152, 224]",0.736057,0.854027,0.939087,1,1,1,0.0
data_prepared/indian_lp\22dc6b5f-ff5d-4bb4-beb2-0f5fd9e75787___i10_Latest_Acrylic_Number_Plate.jpg.xml,data_prepared/indian_lp\22dc6b5f-ff5d-4bb4-beb2-0f5fd9e75787___i10_Latest_Acrylic_Number_Plate.jpg.jpeg,KL09AL9405,KL09AL9405,"[144, 166, 342, 212]","[122, 161, 361, 218]",0.668575,0.858579,0.959724,1,1,1,0.0
data_prepared/indian_lp\2302b12c-3d74-4d6c-b376-ba8ab308a8c3___big_215451_1320738450.jpg.xml,data_prepared/indian_lp\2302b12c-3d74-4d6c-b376-ba8ab308a8c3___big_215451_1320738450.jpg.jpeg,MH20BY4465,MH20BY4465,"[129, 131, 206, 156]","[121, 127, 215, 158]",0.660604,0.848747,0.966289,1,1,1,0.0
data_prepared/indian_lp\23d775eb-842f-4f57-ad7a-affafa21660a___215453-new-2016-maruti-ertiga-granite-grey-zdi-shvs-highway-champion-img_8168.jpg.xml,data_prepared/indian_lp\23d775eb-842f-4f57-ad7a-affafa21660a___215453-new-2016-maruti-ertiga-granite-grey-zdi-shvs-highway-champion-img_8168.jpg.jpeg,TN37CR4019,TN37CR4019,"[98, 267, 297, 365]","[86, 265, 311, 366]",0.858174,0.858178,0.970616,1,1,1,0.0
data_prepared/indian_lp\2424211e-e6ba-4478-8ed1-6a04e25499c7___main-qimg-7673aeac86d0ef987deb837552c5dd4c-1.xml,data_prepared/indian_lp\2424211e-e6ba-4478-8ed1-6a04e25499c7___main-qimg-7673aeac86d0ef987deb837552c5dd4c-1.png,KA03AB3380,KA03AB3380,"[141, 282, 305, 325]","[127, 279, 310, 326]",0.819905,0.830859,0.932098,1,1,1,0.0
data_prepared/indian_lp\2430703d-0fb3-4eb2-9765-4f9301f232cd___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Terrano-Duster-Rear-Comparison - Copy.xml,data_prepared/indian_lp\2430703d-0fb3-4eb2-9765-4f9301f232cd___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Terrano-Duster-Rear-Comparison - Copy.jpg,TN19H3322,TN49H3322,"[450, 272, 692, 327]","[435, 265, 712, 341]",0.632244,0.853906,0.894459,1,0,0,0.111111
data_prepared/indian_lp\2430703d-0fb3-4eb2-9765-4f9301f232cd___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Terrano-Duster-Rear-Comparison.xml,data_prepared/indian_lp\2430703d-0fb3-4eb2-9765-4f9301f232cd___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Terrano-Duster-Rear-Comparison.jpg,TERRANO,TERRANO,"[595, 264, 808, 317]","[585, 263, 821, 326]",0.759282,0.792404,0.94348,1,1,1,0.0
data_prepared/indian_lp\254b647f-4cb3-46c3-a206-4e70041f4c78___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-33nu2i6.jpg.xml,data_prepared/indian_lp\254b647f-4cb3-46c3-a206-4e70041f4c78___speedex-number-plates-nandanam-chennai-car-number-plate-dealers-33nu2i6.jpg.jpeg,TN45BA1065,TN45BA1065,"[119, 84, 219, 109]","[108, 78, 230, 117]",0.525431,0.870345,0.962139,1,1,1,0.0
data_prepared/indian_lp\266d82c7-1b64-44cd-b77c-c08d98175390___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_5c752daa8d168dec865fe0462bf2c0bb_large.xml,data_prepared/indian_lp\266d82c7-1b64-44cd-b77c-c08d98175390___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_5c752daa8d168dec865fe0462bf2c0bb_large.jpg,MH21V9926,MH21V9926,"[165, 360, 287, 387]","[153, 353, 299, 390]",0.609774,0.830781,0.950924,1,1,1,0.0
data_prepared/indian_lp\26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.xml,data_prepared/indian_lp\26cfb3dd-3731-4fd0-a6c2-c44e3ce7498a___used_cars_in_keralaused_bikes_in_keralaautomotive_news7.jpg.jpeg,KL20K7561,KL20K7561,"[166, 277, 325, 328]","[151, 267, 341, 333]",0.646651,0.85367,0.968536,1,1,1,0.0
data_prepared/indian_lp\26d2b905-4055-41fe-a933-47db0e8a0a7f___37cba8c3f681f0cb5694f16a4c54aa7b.jpg.xml,data_prepared/indian_lp\26d2b905-4055-41fe-a933-47db0e8a0a7f___37cba8c3f681f0cb5694f16a4c54aa7b.jpg.jpeg,HR26CF5868,HR26CF5868,"[44, 207, 109, 259]","[37, 198, 118, 264]",0.632248,0.827983,0.967789,1,1,1,0.0
data_prepared/indian_lp\27a88c24-0bf2-48b0-98a8-fa396e951045___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_7T4G0491-e1376988169395-1024x577.xml,data_prepared/indian_lp\27a88c24-0bf2-48b0-98a8-fa396e951045___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_7T4G0491-e1376988169395-1024x577.jpg,TN21TC611,TN21TC611,"[591, 292, 695, 340]","[578, 285, 701, 348]",0.644212,0.823228,0.9417,1,1,1,0.0
data_prepared/indian_lp\27bfd7b7-6e0c-454c-b9f3-7a44d36edb9c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-right-side-angle-view.xml,data_prepared/indian_lp\27bfd7b7-6e0c-454c-b9f3-7a44d36edb9c___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-rear-right-side-angle-view.jpg,DL6CM6683,DL6CM6683,"[91, 327, 229, 401]","[78, 319, 242, 403]",0.741289,0.833858,0.965796,1,1,1,0.0
data_prepared/indian_lp\28574c06-ac11-422e-864f-a51b726bb9ba___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault0.xml,data_prepared/indian_lp\28574c06-ac11-422e-864f-a51b726bb9ba___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_hqdefault0.jpg,RJ27TC0530,RJ27TC0530,"[122, 205, 210, 229]","[114, 201, 219, 235]",0.591597,0.840208,0.962487,1,1,1,0.0
data_prepared/indian_lp\28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.xml,data_prepared/indian_lp\28fc10e3-681b-4086-9c15-28934ae86f7e___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_nissan-terrano-amt_827x510_71478504527.jpg,DL14CTC0153,DL14CT0113,"[116, 282, 182, 320]","[109, 279, 188, 323]",0.721519,0.764266,0.772752,1,0,0,0.181818
data_prepared/indian_lp\2adfb5e7-e70a-4749-b5fa-8c233c0d47d9___new_1572920d1478091901-your-favourite-number-plate-font-jetta-german-font.jpg.xml,data_prepared/indian_lp\2adfb5e7-e70a-4749-b5fa-8c233c0d47d9___new_1572920d1478091901-your-favourite-number-plate-font-jetta-german-font.jpg.jpeg,MH14EU3498,MH14EU3498,"[155, 92, 372, 147]","[135, 87, 392, 153]",0.703632,0.894381,0.961938,1,1,1,0.0
data_prepared/indian_lp\2c9306ab-3454-4ca0-89fd-db3f51dabcef___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-front-three-quarters-on-plain-ground.xml,data_prepared/indian_lp\2c9306ab-3454-4ca0-89fd-db3f51dabcef___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano-front-three-quarters-on-plain-ground.jpg,RJ27TC0530,RJ27TC0530,"[141, 512, 349, 611]","[126, 503, 366, 622]",0.721008,0.851437,0.949647,1,1,1,0.0
data_prepared/indian_lp\2e23964b-ce59-4bcf-8c35-98f3a096a748___design-ind-number-plates-vijayanagar-bangalore-number-plate-dealers-2etqybj.jpg.xml,data_prepared/indian_lp\2e23964b-ce59-4bcf-8c35-98f3a096a748___design-ind-number-plates-vijayanagar-bangalore-number-plate-dealers-2etqybj.jpg.jpeg,KA05HS4495,KA05HS4495,"[1, 46, 702, 401]","[0, 20, 750, 440]",0.790016,0.917296,0.934089,1,1,1,0.0
data_prepared/indian_lp\2fbe224b-e775-4c74-b975-fd66d2397ef6___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano.xml,data_prepared/indian_lp\2fbe224b-e775-4c74-b975-fd66d2397ef6___3e7fd381-0ae5-4421-8a70-279ee0ec1c61_Nissan-Terrano.jpg,RJ27TC0530,RJ27TC0530,"[710, 345, 774, 374]","[702, 339, 781, 377]",0.618254,0.787082,0.969003,1,1,1,0.0
data_prepared/indian_lp\304b14b8-dc3c-41cb-94b6-635864e2e964___number-plate-protector-car-safeplate-250x250.jpg.xml,data_prepared/indian_lp\304b14b8-dc3c-41cb-94b6-635864e2e964___number-plate-protector-car-safeplate-250x250.jpg.jpeg,GJ07BR1336,GJ07BR1336,"[10, 87, 244, 176]","[0, 75, 250, 189]",0.730737,0.831504,0.944793,1,1,1,0.0
data_prepared/indian_lp\31847e78-6696-4dc2-be08-cb37d512c576___2010_Maruti_WagonR_Review.jpg.xml,data_prepared/indian_lp\31847e78-6696-4dc2-be08-cb37d512c576___2010_Maruti_WagonR_Review.jpg.jpeg,MH06AW8929,MH06AW8929,"[29, 265, 161, 325]","[14, 258, 177, 332]",0.656608,0.847055,0.96612,1,1,1,0.0
data_prepared/indian_lp\319f51dc-9db2-4977-a43d-09561cdd54ab___1415806d1442489743t-raging-red-rover-r3-my-mahindra-scorpio-s10-4x4-nudge-guard.jpg.xml,data_prepared/indian_lp\319f51dc-9db2-4977-a43d-09561cdd54ab___1415806d1442489743t-raging-red-rover-r3-my-mahindra-scorpio-s10-4x4-nudge-guard.jpg.jpeg,DL12CG6648,DL12CG6648,"[271, 1, 502, 59]","[247, 0, 530, 72]",0.657538,0.761254,0.958022,1,1,1,0.0
data_prepared/indian_lp\319f51dc-9db2-4977-a43d-09561cdd54ab___1415806d1442489743t-raging-red-rover-r3-my-mahindra-scorpio-s10-4x4-nudge-guard.jpg.xml,data_prepared/indian_lp\319f51dc-9db2-4977-a43d-09561cdd54ab___1415806d1442489743t-raging-red-rover-r3-my-mahindra-scorpio-s10-4x4-nudge-guard.jpg.jpeg,,DP1VEPF4,,"[425, 273, 591, 328]",0.0,0.598379,0.59058,0,0,0,
data_prepared/indian_lp\346a6946-ae0a-4b3f-b094-d971124b2064___banner_3.xml,data_prepared/indian_lp\346a6946-ae0a-4b3f-b094-d971124b2064___banner_3.png,DL6CAB123X,DL6CAB123X,"[326, 186, 574, 231]","[301, 181, 602, 239]",0.639248,0.879516,0.968566,1,1,1,0.0
